customer_id,tenure,monthly_charges,total_charges,num_support_tickets,avg_monthly_usage,contract_type,payment_method,churn
CUST-000088,56,68.06,3938.51,2,76,monthly,bank_transfer,0
CUST-000089,60,65.65,4270.74,1,132,two_year,mailed_check,0
CUST-000090,31,44.02,1298.26,1,371,monthly,auto_pay,0
CUST-000091,58,84.48,5249.7,2,467,monthly,mailed_check,0
CUST-000092,61,48.93,2902.51,2,15,monthly,auto_pay,0
CUST-000093,28,45.78,1190.62,2,212,monthly,mailed_check,0
CUST-000094,65,78.6,5420.35,0,441,two_year,bank_transfer,0
CUST-000095,21,61.0,1168.18,1,150,one_year,bank_transfer,0
CUST-000096,17,41.89,698.58,0,229,monthly,bank_transfer,0
CUST-000097,49,101.61,5296.86,0,453,two_year,credit_card,0
CUST-000098,46,106.06,4993.1,2,484,one_year,credit_card,0
CUST-000099,10,36.77,369.03,2,331,two_year,bank_transfer,0
CUST-000100,60,20.75,1208.55,2,350,monthly,mailed_check,0
CUST-000101,14,53.61,686.75,1,310,monthly,mailed_check,1
CUST-000102,58,99.75,6353.6,4,148,monthly,auto_pay,0
CUST-000103,0,103.92,0.0,1,444,monthly,bank_transfer,1
CUST-000104,58,33.83,1866.12,0,26,one_year,auto_pay,0
CUST-000105,57,97.43,5260.19,1,38,monthly,mailed_check,1
CUST-000106,56,31.57,1912.16,1,304,monthly,credit_card,1
CUST-000107,48,59.01,2981.86,0,420,one_year,mailed_check,1
CUST-000108,34,119.86,4040.46,0,408,monthly,mailed_check,0
CUST-000109,51,39.26,2184.64,1,342,monthly,mailed_check,1
CUST-000110,20,35.4,644.67,1,194,one_year,credit_card,0
CUST-000111,56,62.28,3762.28,1,186,two_year,mailed_check,0
CUST-000112,40,81.97,2990.55,2,218,monthly,auto_pay,1
CUST-000113,33,113.29,3657.17,4,135,two_year,auto_pay,0
CUST-000114,36,118.08,3871.71,2,215,one_year,credit_card,0
CUST-000115,41,26.96,1215.67,1,61,one_year,bank_transfer,0
CUST-000116,2,33.8,73.2,1,166,monthly,bank_transfer,1
CUST-000117,10,99.07,1007.5,1,471,one_year,mailed_check,0
CUST-000118,17,47.06,754.87,0,356,one_year,bank_transfer,0
CUST-000119,8,108.48,829.1,2,79,monthly,credit_card,1
CUST-000120,32,86.35,2735.32,0,150,two_year,mailed_check,0
CUST-000121,48,31.18,1443.59,1,137,two_year,credit_card,0
CUST-000122,47,103.25,4388.16,2,148,monthly,mailed_check,0
CUST-000123,34,37.64,1319.75,3,348,one_year,mailed_check,0
CUST-000124,62,62.35,3953.4,1,448,monthly,bank_transfer,0
CUST-000125,41,75.22,3333.4,2,357,one_year,auto_pay,0
CUST-000126,5,70.08,348.78,2,249,one_year,mailed_check,1
CUST-000127,55,88.62,4722.72,0,88,monthly,auto_pay,0
CUST-000128,41,85.27,3504.12,0,80,monthly,auto_pay,0
CUST-000129,46,119.2,5148.39,1,408,monthly,credit_card,0
CUST-000130,41,119.94,5041.01,4,342,two_year,auto_pay,0
CUST-000131,40,71.65,3020.78,0,260,monthly,auto_pay,0
CUST-000132,6,29.52,164.84,1,292,two_year,auto_pay,0
CUST-000133,40,92.78,3576.4,0,425,monthly,mailed_check,0
CUST-000134,58,117.67,7326.9,1,408,monthly,mailed_check,0
CUST-000135,22,51.83,1141.52,3,52,two_year,auto_pay,0
CUST-000136,44,66.12,2927.8,3,203,one_year,bank_transfer,0
CUST-000137,2,62.48,130.52,0,30,monthly,bank_transfer,0
CUST-000138,25,25.14,638.29,2,198,monthly,credit_card,0
CUST-000139,31,87.23,2471.35,1,322,monthly,auto_pay,0
CUST-000140,71,55.33,4167.25,1,112,monthly,bank_transfer,0
CUST-000141,15,98.75,1606.52,2,83,monthly,mailed_check,0
CUST-000142,20,103.21,1879.77,2,250,one_year,mailed_check,1
CUST-000143,29,102.12,2737.15,0,267,monthly,mailed_check,1
CUST-000144,72,61.67,4619.6,3,359,monthly,mailed_check,0
CUST-000145,62,52.15,3300.86,2,16,monthly,bank_transfer,1
CUST-000146,2,94.88,185.3,0,131,monthly,bank_transfer,0
CUST-000147,17,100.14,1715.74,0,392,two_year,auto_pay,0
CUST-000148,59,69.13,4244.54,1,344,monthly,bank_transfer,0
CUST-000149,4,109.3,437.59,1,450,monthly,bank_transfer,1
CUST-000150,62,34.39,1978.74,2,409,one_year,auto_pay,0
CUST-000151,20,107.91,1980.98,1,421,two_year,bank_transfer,1
CUST-000152,66,29.61,1930.36,2,260,one_year,mailed_check,0
CUST-000153,21,35.35,805.14,2,479,one_year,credit_card,0
CUST-000154,31,73.38,2301.07,0,213,two_year,bank_transfer,0
CUST-000155,48,26.75,1247.59,2,452,one_year,auto_pay,0
CUST-000156,9,25.28,246.12,1,202,two_year,mailed_check,0
CUST-000157,40,20.05,784.14,1,227,monthly,auto_pay,0
CUST-000158,36,63.63,2294.87,0,345,one_year,credit_card,0
CUST-000159,57,97.46,5129.13,3,205,two_year,bank_transfer,0
CUST-000160,72,23.48,1770.83,3,82,two_year,mailed_check,0
CUST-000161,48,85.23,4254.93,3,449,monthly,bank_transfer,1
CUST-000162,29,102.31,3141.59,1,231,one_year,bank_transfer,0
CUST-000163,29,36.8,1029.89,2,464,monthly,credit_card,0
CUST-000164,30,34.69,1027.39,2,205,one_year,auto_pay,0
CUST-000165,59,106.08,5843.57,0,486,monthly,credit_card,1
CUST-000166,23,102.31,2571.74,2,305,one_year,bank_transfer,0
CUST-000167,12,73.89,813.28,5,386,one_year,auto_pay,1
CUST-000168,24,101.92,2518.98,1,380,monthly,mailed_check,1
CUST-000169,1,29.28,30.48,0,108,monthly,credit_card,1
CUST-000170,7,59.45,387.66,1,409,monthly,bank_transfer,0
CUST-000171,6,93.78,547.52,1,473,one_year,credit_card,0
CUST-000172,56,45.75,2327.9,1,333,one_year,bank_transfer,0
CUST-000173,52,95.23,5008.02,2,474,one_year,mailed_check,0
CUST-000174,50,70.42,3869.54,3,424,monthly,bank_transfer,0
CUST-000175,33,95.03,3092.01,1,336,one_year,bank_transfer,0
CUST-000176,52,66.47,3795.18,1,243,one_year,bank_transfer,0
CUST-000177,11,56.79,577.99,4,430,monthly,mailed_check,1
CUST-000178,65,41.92,2666.19,2,100,monthly,auto_pay,0
CUST-000179,36,40.84,1588.44,1,284,monthly,auto_pay,0
CUST-000180,68,95.15,6957.66,1,409,monthly,mailed_check,0
CUST-000181,11,31.89,338.41,1,472,monthly,auto_pay,0
CUST-000182,36,28.6,1066.38,0,140,monthly,auto_pay,0
CUST-000183,50,37.63,2026.81,0,56,monthly,auto_pay,0
CUST-000184,36,37.53,1423.19,2,173,monthly,auto_pay,0
CUST-000185,32,102.31,3358.04,2,433,monthly,credit_card,0
CUST-000186,12,59.85,668.3,3,266,one_year,bank_transfer,0
CUST-000187,27,119.04,2939.6,0,37,monthly,mailed_check,0
CUST-000188,17,33.72,586.38,4,68,monthly,credit_card,1
CUST-000189,22,85.35,1877.8,3,176,one_year,mailed_check,0
CUST-000190,49,64.87,3012.09,1,177,monthly,auto_pay,0
CUST-000191,46,59.29,2614.3,2,76,monthly,bank_transfer,1
CUST-000192,44,107.51,4628.34,2,252,monthly,credit_card,1
CUST-000193,26,117.56,3053.82,2,244,monthly,mailed_check,1
CUST-000194,70,107.29,7345.46,2,107,one_year,credit_card,0
CUST-000195,6,39.23,230.07,3,123,monthly,auto_pay,0
CUST-000196,25,42.08,971.15,4,335,monthly,credit_card,1
CUST-000197,8,85.61,734.96,2,476,one_year,mailed_check,1
CUST-000198,24,48.91,1199.47,2,498,two_year,credit_card,0
CUST-000199,70,93.47,6079.8,2,284,monthly,mailed_check,0
CUST-000200,26,76.64,1962.3,3,28,monthly,auto_pay,1
CUST-000201,66,75.09,4873.39,2,449,monthly,credit_card,1
CUST-000202,36,102.85,3777.11,0,475,one_year,auto_pay,1
CUST-000203,51,91.05,4744.66,3,146,one_year,mailed_check,0
CUST-000204,33,22.66,769.5,2,206,one_year,credit_card,0
CUST-000205,19,24.95,492.81,7,22,monthly,mailed_check,0
CUST-000206,55,80.16,4059.05,2,402,monthly,mailed_check,0
CUST-000207,70,68.62,4615.99,1,390,one_year,auto_pay,0
CUST-000208,19,46.02,789.98,1,20,monthly,bank_transfer,1
CUST-000209,56,61.87,3433.29,1,354,two_year,credit_card,0
CUST-000210,19,95.79,1794.32,0,211,monthly,bank_transfer,0
CUST-000211,52,102.66,5588.5,2,277,monthly,mailed_check,0
CUST-000212,57,76.12,4049.97,0,116,monthly,auto_pay,0
CUST-000213,32,58.54,1922.55,1,409,monthly,auto_pay,0
CUST-000214,53,47.07,2398.26,2,208,one_year,mailed_check,0
CUST-000215,19,72.19,1339.22,1,421,monthly,bank_transfer,1
CUST-000216,5,51.47,268.64,2,82,one_year,credit_card,0
CUST-000217,7,76.41,489.04,1,298,one_year,mailed_check,0
CUST-000218,32,87.67,2717.23,1,161,two_year,auto_pay,0
CUST-000219,65,26.61,1692.06,2,483,one_year,auto_pay,0
CUST-000220,9,20.11,188.8,3,282,two_year,auto_pay,0
CUST-000221,33,41.23,1278.74,1,362,two_year,mailed_check,0
CUST-000222,51,109.45,6081.44,4,52,monthly,mailed_check,0
CUST-000223,14,84.63,1302.77,3,341,two_year,auto_pay,0
CUST-000224,52,37.2,2057.78,5,59,two_year,mailed_check,0
CUST-000225,22,109.03,2302.58,1,187,monthly,bank_transfer,1
CUST-000226,59,67.0,4082.55,1,119,one_year,auto_pay,0
CUST-000227,42,67.61,2602.88,1,11,monthly,mailed_check,1
CUST-000228,39,113.55,4757.29,1,297,one_year,credit_card,0
CUST-000229,12,25.95,312.4,1,128,monthly,auto_pay,1
CUST-000230,33,41.52,1281.49,3,261,one_year,auto_pay,1
CUST-000231,62,78.58,4703.8,3,384,monthly,auto_pay,1
CUST-000232,1,39.55,41.93,2,97,one_year,mailed_check,0
CUST-000233,55,87.95,5195.43,2,357,monthly,bank_transfer,0
CUST-000234,35,41.41,1455.06,0,155,one_year,credit_card,0
CUST-000235,52,29.92,1549.71,5,172,monthly,credit_card,0
CUST-000236,48,40.7,2051.57,0,292,one_year,mailed_check,1
CUST-000237,31,62.27,2056.3,1,316,monthly,auto_pay,0
CUST-000238,22,37.61,871.25,1,331,monthly,auto_pay,1
CUST-000239,45,33.47,1471.34,0,105,monthly,bank_transfer,0
CUST-000240,10,106.03,1090.4,1,294,two_year,bank_transfer,0
CUST-000241,42,52.04,2341.89,1,139,monthly,mailed_check,0
CUST-000242,6,56.08,313.04,1,145,one_year,auto_pay,1
CUST-000243,47,25.53,1173.06,3,474,monthly,mailed_check,0
CUST-000244,45,55.74,2285.87,0,59,one_year,mailed_check,0
CUST-000245,6,46.48,273.8,2,212,monthly,mailed_check,1
CUST-000246,55,81.05,4700.5,1,225,monthly,auto_pay,1
CUST-000247,30,40.54,1142.51,4,130,monthly,credit_card,1
CUST-000248,57,108.84,6255.85,1,394,monthly,auto_pay,1
CUST-000249,3,112.97,307.5,0,248,monthly,auto_pay,1
CUST-000250,13,29.98,420.74,3,362,monthly,auto_pay,1
CUST-000251,36,30.74,1177.47,0,199,monthly,credit_card,1
CUST-000252,13,31.53,411.89,1,449,two_year,mailed_check,0
CUST-000253,24,81.96,2048.0,2,367,monthly,mailed_check,0
CUST-000254,48,32.2,1423.16,0,173,two_year,bank_transfer,0
CUST-000255,10,105.24,1125.06,1,481,monthly,bank_transfer,0
CUST-000256,49,95.43,4877.39,0,433,monthly,credit_card,1
CUST-000257,7,101.98,659.6,2,299,monthly,mailed_check,0
CUST-000258,12,72.61,955.09,1,18,monthly,credit_card,0
CUST-000259,42,119.67,4546.17,1,299,monthly,bank_transfer,0
CUST-000260,57,24.42,1427.72,1,348,two_year,bank_transfer,0
CUST-000261,12,60.13,674.19,1,188,one_year,bank_transfer,1
CUST-000262,21,52.39,1148.44,0,80,one_year,auto_pay,0
CUST-000263,67,114.86,7034.42,2,286,monthly,mailed_check,0
CUST-000264,72,77.69,5125.04,0,402,monthly,mailed_check,0
CUST-000265,42,100.62,4197.55,3,166,one_year,auto_pay,0
CUST-000266,32,37.03,1302.04,1,233,monthly,credit_card,1
CUST-000267,25,117.86,2814.8,0,10,monthly,mailed_check,0
CUST-000268,44,69.86,3143.02,1,354,monthly,bank_transfer,1
CUST-000269,43,69.37,2994.01,1,434,monthly,mailed_check,1
CUST-000270,21,117.09,2627.14,1,390,one_year,bank_transfer,0
CUST-000271,1,58.07,55.61,3,220,monthly,auto_pay,1
CUST-000272,11,59.75,664.47,1,32,monthly,bank_transfer,0
CUST-000273,69,78.48,5903.16,1,251,two_year,bank_transfer,0
CUST-000274,30,32.81,951.34,1,470,two_year,credit_card,0
CUST-000275,35,52.11,1801.75,0,50,monthly,auto_pay,0
CUST-000276,34,39.32,1440.84,0,114,monthly,bank_transfer,1
CUST-000277,57,30.33,1670.89,2,420,one_year,mailed_check,0
CUST-000278,4,106.61,416.26,1,288,monthly,bank_transfer,1
CUST-000279,6,78.93,455.03,1,93,monthly,mailed_check,1
CUST-000280,20,55.87,1186.57,2,21,monthly,bank_transfer,1
CUST-000281,35,60.87,2313.83,1,211,monthly,bank_transfer,0
CUST-000282,48,63.15,3110.68,0,301,two_year,credit_card,0
CUST-000283,35,83.31,2987.95,2,421,one_year,auto_pay,1
CUST-000284,32,112.68,3526.44,2,443,two_year,credit_card,0
CUST-000285,68,113.28,6951.97,0,234,one_year,bank_transfer,0
CUST-000286,11,59.15,608.22,1,217,one_year,mailed_check,0
CUST-000287,41,52.93,2017.11,3,466,one_year,auto_pay,0
CUST-000288,39,65.1,2343.85,7,390,one_year,auto_pay,1
CUST-000289,34,76.79,2691.3,3,112,monthly,mailed_check,0
CUST-000290,58,66.18,3559.27,3,343,monthly,mailed_check,1
CUST-000291,19,85.88,1496.49,5,360,monthly,mailed_check,1
CUST-000292,69,75.44,5083.12,0,124,monthly,auto_pay,0
CUST-000293,24,52.07,1186.95,2,489,monthly,bank_transfer,1
CUST-000294,39,54.57,1977.49,2,155,monthly,credit_card,1
CUST-000295,38,57.86,2043.07,0,279,one_year,bank_transfer,0
CUST-000296,62,29.46,1737.46,2,251,monthly,auto_pay,0
CUST-000297,32,36.61,1180.15,1,349,monthly,bank_transfer,1
CUST-000298,20,92.31,1941.5,2,451,monthly,auto_pay,0
CUST-000299,1,58.91,63.07,0,202,monthly,credit_card,0
CUST-000300,26,41.45,1131.89,2,198,two_year,credit_card,0
CUST-000301,60,76.27,4693.55,1,378,monthly,bank_transfer,1
CUST-000302,0,95.55,0.0,1,476,monthly,credit_card,0
CUST-000303,65,45.74,2984.84,1,455,monthly,mailed_check,0
CUST-000304,39,102.68,4111.33,2,378,one_year,bank_transfer,0
CUST-000305,10,112.75,1107.57,1,354,one_year,bank_transfer,1
CUST-000306,22,79.74,1693.72,2,386,monthly,bank_transfer,0
CUST-000307,40,86.89,3358.62,5,468,monthly,bank_transfer,1
CUST-000308,23,25.26,540.12,3,15,one_year,mailed_check,0
CUST-000309,7,114.55,849.42,2,298,two_year,auto_pay,0
CUST-000310,48,59.25,2591.09,2,26,monthly,credit_card,0
CUST-000311,49,112.39,5699.51,3,292,monthly,credit_card,0
CUST-000312,8,77.9,668.63,2,203,monthly,credit_card,1
CUST-000313,20,20.46,408.99,1,159,monthly,bank_transfer,0
CUST-000314,17,23.85,370.6,0,446,one_year,auto_pay,0
CUST-000315,48,88.04,4165.42,3,357,two_year,mailed_check,0
CUST-000316,53,76.27,3915.56,1,288,two_year,bank_transfer,0
CUST-000317,53,22.65,1317.02,0,442,one_year,credit_card,0
CUST-000318,68,94.35,6661.22,0,57,monthly,credit_card,0
CUST-000319,56,105.21,6152.6,1,326,two_year,bank_transfer,0
CUST-000320,23,69.64,1606.79,0,86,monthly,bank_transfer,0
CUST-000321,7,66.58,485.58,0,124,monthly,auto_pay,1
CUST-000322,44,20.55,944.45,4,100,one_year,credit_card,1
CUST-000323,66,98.66,5946.82,0,276,monthly,credit_card,0
CUST-000324,71,53.07,3558.93,1,318,one_year,auto_pay,0
CUST-000325,16,107.88,1557.95,1,380,two_year,bank_transfer,0
CUST-000326,17,57.31,976.18,1,225,one_year,bank_transfer,0
CUST-000327,2,76.51,164.52,4,470,one_year,credit_card,1
CUST-000328,10,47.03,480.6,0,193,monthly,credit_card,0
CUST-000329,40,36.06,1442.46,2,86,monthly,bank_transfer,1
CUST-000330,39,97.49,4126.02,2,27,one_year,bank_transfer,0
CUST-000331,27,69.66,1757.52,2,72,one_year,mailed_check,0
CUST-000332,22,73.65,1482.45,1,228,two_year,mailed_check,0
CUST-000333,60,116.54,7575.99,2,212,monthly,bank_transfer,0
CUST-000334,33,116.36,4149.21,2,428,monthly,bank_transfer,0
CUST-000335,59,105.56,6455.95,4,71,monthly,bank_transfer,1
CUST-000336,70,38.76,2575.36,2,138,one_year,auto_pay,0
CUST-000337,23,79.43,1998.53,1,490,one_year,bank_transfer,0
CUST-000338,14,107.81,1589.44,1,23,two_year,mailed_check,0
CUST-000339,69,57.45,4101.92,2,217,monthly,mailed_check,0
CUST-000340,46,30.11,1308.3,3,107,monthly,bank_transfer,0
CUST-000341,21,101.1,2128.66,1,271,monthly,credit_card,0
CUST-000342,45,68.18,3266.04,2,487,monthly,credit_card,0
CUST-000343,37,76.44,3032.06,1,121,monthly,mailed_check,0
CUST-000344,66,118.21,7897.71,1,191,one_year,bank_transfer,0
CUST-000345,18,80.72,1459.58,1,230,monthly,bank_transfer,1
CUST-000346,72,62.5,4677.92,0,401,monthly,auto_pay,0
CUST-000347,68,57.0,3897.9,0,492,one_year,mailed_check,0
CUST-000348,13,61.76,789.66,0,57,one_year,bank_transfer,0
CUST-000349,12,31.84,350.4,2,249,monthly,bank_transfer,1
CUST-000350,38,99.48,3497.52,1,378,monthly,mailed_check,0
CUST-000351,3,103.77,327.52,3,14,one_year,credit_card,1
CUST-000352,21,48.44,920.53,2,404,one_year,mailed_check,0
CUST-000353,31,50.38,1421.94,3,128,one_year,auto_pay,1
CUST-000354,70,107.43,8128.69,0,264,monthly,credit_card,1
CUST-000355,72,22.4,1678.6,2,489,monthly,credit_card,0
CUST-000356,11,72.05,713.96,2,321,two_year,auto_pay,0
CUST-000357,65,66.37,4151.88,1,494,monthly,mailed_check,0
CUST-000358,6,89.01,562.19,0,305,monthly,credit_card,0
CUST-000359,54,36.34,1930.02,0,113,two_year,auto_pay,0
CUST-000360,61,86.83,5263.58,3,349,monthly,mailed_check,0
CUST-000361,65,57.67,3717.66,4,311,one_year,auto_pay,0
CUST-000362,16,81.87,1231.88,2,162,two_year,auto_pay,0
CUST-000363,65,24.01,1629.75,1,47,monthly,credit_card,0
CUST-000364,8,66.17,487.33,1,327,one_year,auto_pay,0
CUST-000365,37,72.23,2676.39,2,292,monthly,auto_pay,1
CUST-000366,34,41.43,1315.64,0,389,two_year,credit_card,0
CUST-000367,23,33.96,710.24,3,71,two_year,bank_transfer,0
CUST-000368,1,38.85,36.08,3,273,two_year,mailed_check,0
CUST-000369,56,54.41,3272.03,3,411,monthly,mailed_check,1
CUST-000370,24,29.68,666.18,0,446,one_year,credit_card,0
CUST-000371,48,114.73,5262.93,1,470,two_year,auto_pay,0
CUST-000372,29,60.5,1627.51,1,113,one_year,auto_pay,1
CUST-000373,27,100.9,2852.64,1,94,one_year,auto_pay,0
CUST-000374,64,117.44,7434.16,0,292,monthly,auto_pay,0
CUST-000375,6,28.07,183.36,0,236,two_year,mailed_check,0
CUST-000376,53,85.17,4662.36,0,124,monthly,bank_transfer,0
CUST-000377,54,107.14,5821.88,1,60,monthly,auto_pay,0
CUST-000378,27,83.42,2322.9,1,80,two_year,auto_pay,0
CUST-000379,19,62.9,1085.25,0,176,two_year,auto_pay,0
CUST-000380,0,63.11,0.0,2,372,two_year,mailed_check,0
CUST-000381,68,23.59,1750.55,3,41,monthly,credit_card,0
CUST-000382,69,73.46,4841.8,3,61,monthly,mailed_check,0
CUST-000383,17,119.35,2081.01,1,139,monthly,auto_pay,1
CUST-000384,2,115.87,217.92,0,438,monthly,mailed_check,1
CUST-000385,8,24.04,194.15,1,495,two_year,bank_transfer,0
CUST-000386,4,90.58,381.94,1,225,one_year,bank_transfer,0
CUST-000387,60,50.18,3275.64,1,31,monthly,credit_card,0
CUST-000388,65,110.3,6938.95,1,15,monthly,mailed_check,0
CUST-000389,11,24.51,280.04,1,430,monthly,mailed_check,1
CUST-000390,54,113.59,6399.37,1,227,two_year,bank_transfer,0
CUST-000391,13,103.75,1273.53,0,47,one_year,credit_card,0
CUST-000392,26,31.75,846.8,0,418,monthly,auto_pay,1
CUST-000393,43,25.98,1151.87,0,269,monthly,auto_pay,0
CUST-000394,52,103.47,5664.61,0,181,monthly,auto_pay,1
CUST-000395,63,35.58,2465.67,2,231,monthly,credit_card,0
CUST-000396,3,73.49,200.2,2,120,two_year,mailed_check,0
CUST-000397,14,111.57,1468.98,1,466,one_year,bank_transfer,0
CUST-000398,20,76.74,1425.85,0,396,monthly,auto_pay,0
CUST-000399,22,59.72,1223.04,4,107,one_year,mailed_check,1
CUST-000400,72,64.5,4601.51,0,370,monthly,auto_pay,0
CUST-000401,56,26.31,1584.9,1,98,monthly,credit_card,0
CUST-000402,23,116.88,2660.67,0,232,one_year,mailed_check,0
CUST-000403,70,51.07,3695.36,0,376,monthly,auto_pay,0
CUST-000404,36,38.94,1367.21,1,27,monthly,mailed_check,0
CUST-000405,36,48.6,1686.5,0,365,one_year,auto_pay,0
CUST-000406,31,116.44,3850.93,2,120,two_year,mailed_check,1
CUST-000407,10,29.43,303.46,1,352,monthly,mailed_check,0
CUST-000408,68,106.73,7041.21,0,254,one_year,credit_card,0
CUST-000409,1,90.78,98.3,1,22,monthly,credit_card,1
